zone_code,geography
163rdMU/EC,"POLYGON((-80.16043307 25.92600444, -80.16039725 25.92510841, -80.15989463 25.92509766, -80.15966747 25.92511101, -80.15790998 25.92515593, -80.15789587 25.92424496, -80.15785989 25.923339, -80.15683459 25.92335323, -80.15683197 25.92289414, -80.15681308 25.92242645, -80.15977861 25.92236211, -80.15972038 25.92055168, -80.16000897 25.9205414, -80.15996471 25.91916312, -80.15991251 25.91829987, -80.15956002 25.91865004, -80.15764228 25.91875245, -80.15758751 25.91904139, -80.15661091 25.91908511, -80.15628107 25.91908521, -80.15587565 25.92039086, -80.15567738 25.92107019, -80.15541957 25.92244883, -80.15425883 25.92613732, -80.16043307 25.92600444))"
A,"POLYGON((-80.30260311 25.75195059, -80.30310601 25.75193621, -80.30305847 25.75006486, -80.30307621 25.74997581, -80.30256957 25.74998994, -80.30260311 25.75195059))"
A,"POLYGON((-80.3032349 25.7595175, -80.30323392 25.75948479, -80.30322883 25.75948477, -80.3031967 25.75804716, -80.30320657 25.7575809, -80.30317444 25.7567528, -80.30325061 25.75675372, -80.30324223 25.75650011, -80.30329535 25.75649884, -80.30328085 25.75583211, -80.30290591 25.75584275, -80.30292828 25.75627004, -80.30291438 25.75633418, -80.30288632 25.75638984, -80.30284546 25.75643892, -80.30271255 25.75653227, -80.30277392 25.75808409, -80.30280882 25.75808306, -80.30281387 25.75835769, -80.30275977 25.75835942, -80.3027876 25.75901362, -80.30200808 25.75904127, -80.3020249 25.75954452, -80.3032349 25.7595175))"
A1,"POLYGON((-80.18181957 25.85998112, -80.18202096 25.85998486, -80.18201283 25.85969265, -80.18202281 25.85964665, -80.18205554 25.85959316, -80.18254961 25.85902181, -80.1809854 25.85906803, -80.18102621 25.86000274, -80.18181957 25.85998112))"
A1,"POLYGON((-80.18369636 25.85994052, -80.18242614 25.85999716, -80.18165583 25.86092163, -80.18237255 25.86090406, -80.18277321 25.86042143, -80.18282468 25.86041043, -80.18445565 25.86035548, -80.18469212 25.86035351, -80.1849165 25.85988053, -80.18467402 25.85987998, -80.18369636 25.85994052))"
A1,"POLYGON((-80.18866305 25.86446789, -80.18906418 25.86481433, -80.18932161 25.8645652, -80.18943127 25.8645361, -80.18939264 25.86367986, -80.18935855 25.86371668, -80.18866305 25.86446789))"
A1,"POLYGON((-80.18709834 25.85528081, -80.18537122 25.85892196, -80.18553583 25.85892332, -80.18614471 25.85890228, -80.18691175 25.85723184, -80.1868808 25.85695702, -80.18769703 25.85526013, -80.18709834 25.85528081))"
A1,"POLYGON((-80.16455315 25.87268127, -80.17152772 25.87239706, -80.17152177 25.87203074, -80.17194281 25.87201424, -80.17193303 25.87157444, -80.17198205 25.87145617, -80.16471956 25.8717313, -80.16469916 25.8718912, -80.16465408 25.8721401, -80.16455315 25.87268127))"
A2,"POLYGON((-80.17152177 25.87203074, -80.17152772 25.87239706, -80.17228581 25.87236772, -80.17308102 25.87141451, -80.17198205 25.87145617, -80.17193303 25.87157444, -80.17194281 25.87201424, -80.17167699 25.87202115, -80.17152177 25.87203074))"
A2,"POLYGON((-80.18103099 25.85786988, -80.1810808 25.85906626, -80.18206853 25.85903337, -80.18205571 25.85872035, -80.18195191 25.85871377, -80.1819156 25.85783953, -80.18115018 25.85786572, -80.18103099 25.85786988))"
A2,"POLYGON((-80.18254961 25.85902181, -80.18205554 25.85959316, -80.18202281 25.85964665, -80.18201283 25.85969265, -80.18202096 25.85998486, -80.18242515 25.85999835, -80.18326355 25.85900526, -80.18285755 25.85901467, -80.18254961 25.85902181))"
